AreaName,Year,GroupName,SubGroupName,AutoTheftCoordinatedTraced,AutoTheftRecovered,AutoTheftStolen,SuccessRate
Andaman & Nicobar Islands,2001,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,4,4,1
Andhra Pradesh,2001,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,136,1311,2725,0.481100917
Arunachal Pradesh,2001,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,21,27,0.777777778
Assam,2001,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,94,205,0.458536585
Bihar,2001,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,44,205,946,0.216701903
Chandigarh,2001,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,107,281,0.380782918
Chhattisgarh,2001,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,338,790,0.427848101
Dadra & Nagar Haveli,2001,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,4,12,0.333333333
Delhi,2001,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,62,688,3185,0.216012559
Goa,2001,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,9,68,152,0.447368421
Gujarat,2001,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,401,1345,1345,1
Haryana,2001,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,34,882,1967,0.448398577
Himachal Pradesh,2001,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,7,31,47,0.659574468
Jammu & Kashmir,2001,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,1,81,460,0.176086957
Jharkhand,2001,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,10,38,211,0.180094787
Karnataka,2001,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,183,993,3087,0.321671526
Kerala,2001,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,47,300,1038,0.289017341
Madhya Pradesh,2001,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,1063,3756,0.283013845
Maharashtra,2001,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,653,1968,6244,0.315182575
Manipur,2001,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,5,57,0.087719298
Meghalaya,2001,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,5,22,0.227272727
Mizoram,2001,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,2,11,11,1
Nagaland,2001,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,15,53,0.283018868
Odisha,2001,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,22,222,778,0.285347044
Puducherry,2001,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,136,136,281,0.483985765
Punjab,2001,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,123,229,609,0.376026273
Rajasthan,2001,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,58,628,3273,0.191872899
Sikkim,2001,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,2,2,2,1
Tamil Nadu,2001,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,2523,3858,0.653965785
Tripura,2001,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,3,10,0.3
Uttar Pradesh,2001,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,15,727,4046,0.179683638
Uttarakhand,2001,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,60,236,0.254237288
West Bengal,2001,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,14,461,1904,0.242121849
Andaman & Nicobar Islands,2002,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,1,1,2,0.5
Andhra Pradesh,2002,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,12,1420,3025,0.469421488
Arunachal Pradesh,2002,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,19,49,0.387755102
Assam,2002,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,115,485,0.237113402
Bihar,2002,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,13,197,996,0.197791165
Chandigarh,2002,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,126,328,0.384146341
Chhattisgarh,2002,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,244,752,0.324468085
Dadra & Nagar Haveli,2002,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,19,31,0.612903226
Daman & Diu,2002,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,16,32,0.5
Delhi,2002,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,111,665,3291,0.202066241
Goa,2002,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,1,32,138,0.231884058
Gujarat,2002,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,254,1325,5318,0.249153817
Haryana,2002,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,881,1920,0.458854167
Himachal Pradesh,2002,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,4,39,63,0.619047619
Jammu & Kashmir,2002,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,3,94,270,0.348148148
Jharkhand,2002,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,4,57,597,0.095477387
Karnataka,2002,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,190,1020,3376,0.302132701
Kerala,2002,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,35,373,1272,0.293238994
Madhya Pradesh,2002,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,66,1285,4225,0.304142012
Maharashtra,2002,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,172,2098,6777,0.309576509
Manipur,2002,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,9,98,0.091836735
Meghalaya,2002,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,6,31,0.193548387
Mizoram,2002,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,17,18,0.944444444
Nagaland,2002,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,12,89,0.134831461
Odisha,2002,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,32,307,784,0.391581633
Puducherry,2002,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,44,249,0.176706827
Punjab,2002,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,203,310,725,0.427586207
Rajasthan,2002,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,30,714,3696,0.193181818
Tamil Nadu,2002,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,44,2934,4319,0.679323918
Tripura,2002,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,63,71,0.887323944
Uttar Pradesh,2002,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,7,934,4126,0.226369365
Uttarakhand,2002,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,64,253,0.252964427
West Bengal,2002,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,64,423,2704,0.156434911
Andaman & Nicobar Islands,2003,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,2,3,0.666666667
Andhra Pradesh,2003,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,38,1636,3865,0.423285899
Arunachal Pradesh,2003,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,11,49,0.224489796
Assam,2003,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,58,497,0.116700201
Bihar,2003,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,16,243,1183,0.205409975
Chandigarh,2003,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,131,274,0.47810219
Chhattisgarh,2003,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,325,752,0.432180851
Dadra & Nagar Haveli,2003,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,4,10,0.4
Daman & Diu,2003,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,5,8,26,0.307692308
Delhi,2003,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,257,586,3360,0.174404762
Goa,2003,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,2,39,124,0.314516129
Gujarat,2003,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,347,1770,6131,0.288696787
Haryana,2003,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,80,929,1989,0.467068879
Himachal Pradesh,2003,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,1,31,78,0.397435897
Jammu & Kashmir,2003,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,5,73,301,0.242524917
Jharkhand,2003,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,24,137,0.175182482
Karnataka,2003,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,93,1040,3597,0.28912983
Kerala,2003,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,1,440,1070,0.411214953
Lakshadweep,2003,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,1,1,1,1
Madhya Pradesh,2003,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,1266,4291,0.295036122
Maharashtra,2003,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,597,2116,7078,0.298954507
Manipur,2003,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,4,107,0.037383178
Meghalaya,2003,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,8,41,0.195121951
